2016-11-01 23:50:12 INFO  MainFXApplication:147 - Login Error: Bad username or password
2016-11-01 23:50:15 INFO  MainFXApplication:68 - info 
2016-11-02 00:04:53 INFO  MainFXApplication:147 - a : Login Error: Bad username or password
2016-11-02 00:04:56 INFO  MainFXApplication:68 - info 
2016-11-02 00:05:12 INFO  MainFXApplication:147 - a : Login Error: Bad username or password
2016-11-02 00:05:15 INFO  MainFXApplication:68 - info 
2016-11-02 00:06:26 INFO  MainFXApplication:68 - info 
2016-11-02 00:06:33 INFO  MainFXApplication:147 - Userid: a: Bad Login Attempt - Username or Password was invalid 
2016-11-02 00:06:35 INFO  MainFXApplication:68 - info 
2016-11-02 00:07:23 INFO  MainFXApplication:147 - Userid: " as" Bad Login Attempt - Username or Password was invalid 
2016-11-02 00:07:26 INFO  MainFXApplication:68 - info 
2016-11-02 00:08:44 INFO  MainFXApplication:147 - Userid: "a" Bad Login Attempt - The specified email address is invalid.
2016-11-02 00:08:46 INFO  MainFXApplication:68 - info 
2016-11-02 12:00:06 WARN  DefaultHttpClient:1033 - Authentication error: Unable to respond to any of these challenges: {bearer=WWW-Authenticate: Bearer realm="https://auth.firebase.com"}
2016-11-02 12:00:06 INFO  MainFXApplication:147 - Login attempt. Userid: "agg2537@gmail.com" Bad Login Attempt - The specified password is incorrect.
2016-11-02 12:00:09 INFO  MainFXApplication:68 - info 
2016-11-02 12:04:30 INFO  LoginController:147 - Login attempt. Userid: "agg" Bad Login Attempt - The specified email address is invalid.
2016-11-02 12:04:33 INFO  MainFXApplication:68 - info 
2016-11-02 12:13:34 INFO  MainFXApplication:68 - info 
2016-11-02 12:14:13 INFO  MainFXApplication:68 - info 
2016-11-02 12:15:20 INFO  MainFXApplication:68 - info 
2016-11-02 12:15:44 INFO  MainFXApplication:68 - info 
2016-11-02 12:17:57 INFO  LoginController:147 - Login attempt. Userid: "agg" Bad Login Attempt - The specified email address is invalid.
2016-11-02 12:18:00 INFO  MainFXApplication:68 - info 
2016-11-02 12:27:58 INFO  LoginController:147 - Login attempt. Userid: "asd" Bad Login Attempt - The specified email address is invalid.
